,finalized_title,standard_title,Available Globally?,Release Date,Hours Viewed,Runtime_minutes,Views,release_year,type,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,description,age_certification,runtime,seasons
2227,Jimmy Savile: A British Horror Story,jimmy savile,Yes,4/6/22,2100000,171.0,700000,2022,SHOW,"['documentation', 'crime']",['GB'],6.7,6536.0,3.341,6.8,"Jimmy Savile was one of the United Kingdom’s most beloved TV personalities. Shortly after his death in 2011, an investigation prompted more than 450 horrific allegations of sexual assault and abuse, with victims as young as 5.",TV-MA,85,1.0
2228,Drug Lords,drug lords,Yes,7/10/18,2000000,172.0,700000,2018,SHOW,['documentation'],['US'],6.8,1334.0,7.122,7.7,"Witness the stories of history's most notorious kingpins, their terrifying enforcers, and the men and women who've sworn to bring them down.",TV-MA,46,2.0
2231,Neymar: The Perfect Chaos,neymar,Yes,1/25/22,1900000,165.0,700000,2022,SHOW,"['documentation', 'sport']","['BR', 'US']",6.6,3158.0,31.57,7.316,"Beloved worldwide but also a lightning rod for criticism, Neymar shares the highs and lows of his personal life and brilliant football career.",TV-MA,55,1.0
2233,Sophie: A Murder in West Cork,sophie,Yes,6/30/21,1900000,166.0,700000,2021,SHOW,"['documentation', 'crime', 'thriller', 'history']",['GB'],6.8,5234.0,6.016,6.5,A shocking murder in rural Ireland sets off an increasingly convoluted quest for justice that spans decades and cuts across national borders.,TV-14,55,1.0
2234,Magic for Humans,magic for humans,No,5/15/20,1800000,157.0,700000,2018,SHOW,"['reality', 'comedy']",['US'],7.1,3346.0,6.964,6.7,"From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.",TV-14,23,3.0
2247,StoryBots Super Songs,storybots super songs,No,,1200000,108.0,700000,2016,SHOW,"['animation', 'family']",['US'],8.7,170.0,0.6,9.0,"Based on the award-winning educational apps, ""StoryBots Super Songs"" centers on the StoryBots, the curious little creatures who live in the world beneath our screens and help answer humans' biggest questions.",TV-Y,21,1.0
2255,Jim Gaffigan: King Baby (2009),jim gaffigan,No,12/21/21,800000,71.0,700000,2009,MOVIE,"['comedy', 'documentation']",['US'],7.7,2564.0,4.283,7.0,"The greatly anticipated follow up to the platinum selling Beyond the Pale. In this Austin performance that capped off the 2008 sold-out stand up tour, Gaffigan does not let the audience catch their breath. This all-new show proves no other comedian working today can romanticize laziness and over-indulgence like Jim Gaffigan.",Unkown,72,1
2261,Jim Jefferies: Bare (2014),jim jefferies,No,2/14/23,800000,69.0,700000,2014,MOVIE,['comedy'],['US'],8.0,5461.0,6.947,7.5,"Smart, crude, and in-your-face, Australian comic/actor/equal-opportunity-offender Jim Jefferies is not for the faint of heart. Whether he is lampooning gun control, auditioning disabled actors, or over-sharing sexual experiences, the FXX ""Legit"" star proves nothing is out of bounds and even less, off limits. Filmed during the Boston run of his recent stand up tour.",R,76,1
2268,Wanda Sykes: Not Normal,wanda sykes,No,5/23/23,700000,61.0,700000,2019,MOVIE,['comedy'],['US'],7.2,1842.0,3.26,6.8,"Wanda Sykes tackles politics, reality TV, racism and the secret she'd take to the grave in this rollicking, no-holds-barred stand-up special.",Unkown,66,1
2269,Demetri Martin: Live (At The Time) (2015),demetri martin,No,4/2/24,600000,51.0,700000,2015,MOVIE,"['comedy', 'documentation']",['US'],7.4,2207.0,2.887,7.0,"Demetri Martin brings his off-kilter take on acoustic guitar, hairless cats, color schemes, and the word ""nope"" to Washington in his original special.",Unkown,61,1
2271,Chappelle's Home Team - Earthquake: Legendary,chappelles home team  earthquake,No,2/28/22,400000,36.0,700000,2022,MOVIE,['comedy'],[],6.9,588.0,3.399,6.1,"Earthquake shakes up the stage with his takes on ""health is wealth,"" prostate exams and one particularly lengthy celebrity funeral.",R,36,1
